Datum,MonatlicheDurchschnittsTemperatur
1896-01-01,4.039999999999999
1896-02-01,3.6900000000000013
1896-03-01,-3.040000000000001
1896-04-01,-0.21000000000000002
1896-05-01,0.5600000000000005
1896-06-01,4.779999999999999
1896-07-01,-1.6900000000000013
1896-08-01,0.14000000000000057
1896-09-01,-1.5700000000000003
1896-10-01,2.0100000000000002
1896-11-01,-0.0699999999999994
1896-12-01,0.9400000000000013
1897-01-01,-0.509999999999998
1897-02-01,-2.09
1897-03-01,-1.75
1897-04-01,0.81
1897-05-01,-3.55
1897-06-01,-2.6199999999999974
1897-07-01,-0.29999999999999716
1897-08-01,-0.4599999999999991
1897-09-01,-1.3899999999999997
1897-10-01,-0.4700000000000001
1897-11-01,-2.08
1897-12-01,0.3000000000000007
1898-01-01,7.98
1898-02-01,-2.450000000000003
