dt;AverageTemperature;AverageTemperatureUncertainty;City;Country;Latitude;Longitude
1761-05-01;15,391;5,481;Berlin;Germany;52.24N;13.14E
1761-06-01;19,465;2,668;Berlin;Germany;52.24N;13.14E
1761-07-01;18,307;6,874;Berlin;Germany;52.24N;13.14E
1761-08-01;19,978;3,882;Berlin;Germany;52.24N;13.14E
1761-09-01;16,598;4,585;Berlin;Germany;52.24N;13.14E
1761-10-01;6,648;5,946;Berlin;Germany;52.24N;13.14E
1761-11-01;3,926;2,56;Berlin;Germany;52.24N;13.14E
1761-12-01;-2,946;1,566;Berlin;Germany;52.24N;13.14E
1762-01-01;1,105;3,177;Berlin;Germany;52.24N;13.14E
1762-02-01;0,504;9,269;Berlin;Germany;52.24N;13.14E
1762-03-01;0,887;5,515;Berlin;Germany;52.24N;13.14E
1762-04-01;10,733;4,325;Berlin;Germany;52.24N;13.14E
1762-05-01;14,172;7,255;Berlin;Germany;52.24N;13.14E
1762-06-01;17,852;7,575;Berlin;Germany;52.24N;13.14E
1762-07-01;18,798;3,157;Berlin;Germany;52.24N;13.14E
1762-08-01;16,23;3,019;Berlin;Germany;52.24N;13.14E
1762-09-01;14,144;9,665;Berlin;Germany;52.24N;13.14E
1762-10-01;6,313;4,809;Berlin;Germany;52.24N;13.14E
1762-11-01;3,45;2,273;Berlin;Germany;52.24N;13.14E
1762-12-01;-1,873;6,837;Berlin;Germany;52.24N;13.14E
1763-01-01;-5,068;6,828;Berlin;Germany;52.24N;13.14E
1763-02-01;3,598;5,739;Berlin;Germany;52.24N;13.14E
1763-03-01;2,537;8,229;Berlin;Germany;52.24N;13.14E
1763-04-01;7,19;1,982;Berlin;Germany;52.24N;13.14E
1763-05-01;12,824;3,178;Berlin;Germany;52.24N;13.14E
1763-06-01;17,071;6,937;Berlin;Germany;52.24N;13.14E
1763-07-01;19,336;2,368;Berlin;Germany;52.24N;13.14E
1763-08-01;19,158;3,677;Berlin;Germany;52.24N;13.14E
1763-09-01;13,104;3,187;Berlin;Germany;52.24N;13.14E
1763-10-01;7,171;7,098;Berlin;Germany;52.24N;13.14E
1763-11-01;3,356;3,938;Berlin;Germany;52.24N;13.14E
1763-12-01;3,162;2,653;Berlin;Germany;52.24N;13.14E
1764-01-01;1,933;5,876;Berlin;Germany;52.24N;13.14E
1764-02-01;4,071;3,543;Berlin;Germany;52.24N;13.14E
1764-03-01;2,924;3,584;Berlin;Germany;52.24N;13.14E
1764-04-01;7,784;5,133;Berlin;Germany;52.24N;13.14E
1764-05-01;15,364;8,235;Berlin;Germany;52.24N;13.14E
1764-06-01;15,334;3,407;Berlin;Germany;52.24N;13.14E
1764-07-01;20,399;6,092;Berlin;Germany;52.24N;13.14E
1764-08-01;17,019;1,485;Berlin;Germany;52.24N;13.14E
1764-09-01;12,379;5,5;Berlin;Germany;52.24N;13.14E
1764-10-01;7,665;2,949;Berlin;Germany;52.24N;13.14E
1764-11-01;2,633;3,623;Berlin;Germany;52.24N;13.14E
1764-12-01;-0,541;4,611;Berlin;Germany;52.24N;13.14E
1765-01-01;0,679;11,287;Berlin;Germany;52.24N;13.14E
1765-02-01;-2,708;4,891;Berlin;Germany;52.24N;13.14E
1765-03-01;5,646;3,229;Berlin;Germany;52.24N;13.14E
1765-04-01;9,087;1,763;Berlin;Germany;52.24N;13.14E
1765-05-01;11,323;2,763;Berlin;Germany;52.24N;13.14E
1765-06-01;16,81;3,231;Berlin;Germany;52.24N;13.14E
1765-07-01;16,456;4,335;Berlin;Germany;52.24N;13.14E
1765-08-01;18,945;3,305;Berlin;Germany;52.24N;13.14E
1765-09-01;13,113;1,687;Berlin;Germany;52.24N;13.14E
1765-10-01;9,432;1,091;Berlin;Germany;52.24N;13.14E
1765-11-01;3,925;4,226;Berlin;Germany;52.24N;13.14E
1765-12-01;-0,232;2,836;Berlin;Germany;52.24N;13.14E
1766-01-01;-2,678;7,946;Berlin;Germany;52.24N;13.14E
1766-02-01;-0,577;5,061;Berlin;Germany;52.24N;13.14E
1766-03-01;4,395;3,155;Berlin;Germany;52.24N;13.14E
1766-04-01;10,381;3,902;Berlin;Germany;52.24N;13.14E
1766-05-01;14,508;2,437;Berlin;Germany;52.24N;13.14E
1766-06-01;17,631;8,119;Berlin;Germany;52.24N;13.14E
1766-07-01;18,348;4,622;Berlin;Germany;52.24N;13.14E
1766-08-01;17,741;3,837;Berlin;Germany;52.24N;13.14E
1766-09-01;14,903;4,427;Berlin;Germany;52.24N;13.14E
1766-10-01;7,921;2,255;Berlin;Germany;52.24N;13.14E
1766-11-01;4,467;5,807;Berlin;Germany;52.24N;13.14E
1766-12-01;-0,658;4,256;Berlin;Germany;52.24N;13.14E
1767-01-01;-8,253;7,235;Berlin;Germany;52.24N;13.14E
1767-02-01;2,655;8,891;Berlin;Germany;52.24N;13.14E
1767-03-01;3,534;9,471;Berlin;Germany;52.24N;13.14E
1767-04-01;6,124;7,13;Berlin;Germany;52.24N;13.14E
1767-05-01;11,979;2,591;Berlin;Germany;52.24N;13.14E
1767-06-01;15,589;4,197;Berlin;Germany;52.24N;13.14E
1767-07-01;18,17;4,558;Berlin;Germany;52.24N;13.14E
1767-08-01;18,782;2,576;Berlin;Germany;52.24N;13.14E
1767-09-01;15,037;4,585;Berlin;Germany;52.24N;13.14E
1767-10-01;9,181;3,043;Berlin;Germany;52.24N;13.14E
1767-11-01;6,593;8,974;Berlin;Germany;52.24N;13.14E
1767-12-01;-1,73;6,444;Berlin;Germany;52.24N;13.14E
1768-01-01;-5,705;13,971;Berlin;Germany;52.24N;13.14E
1768-02-01;-0,703;9,992;Berlin;Germany;52.24N;13.14E
1768-03-01;1,632;7,191;Berlin;Germany;52.24N;13.14E
1768-04-01;7,929;4,212;Berlin;Germany;52.24N;13.14E
1768-05-01;12,875;2,939;Berlin;Germany;52.24N;13.14E
1768-06-01;17,112;5,441;Berlin;Germany;52.24N;13.14E
1768-07-01;18,857;5,428;Berlin;Germany;52.24N;13.14E
1768-08-01;17,955;1,754;Berlin;Germany;52.24N;13.14E
1768-09-01;13,128;5,197;Berlin;Germany;52.24N;13.14E
1768-10-01;7,655;5,932;Berlin;Germany;52.24N;13.14E
1768-11-01;4,311;6,122;Berlin;Germany;52.24N;13.14E
1768-12-01;1,305;8,063;Berlin;Germany;52.24N;13.14E
1769-01-01;0,72;7,133;Berlin;Germany;52.24N;13.14E
1769-02-01;0,274;4,1;Berlin;Germany;52.24N;13.14E
1769-03-01;3,844;6,473;Berlin;Germany;52.24N;13.14E
1769-04-01;8,585;6,74;Berlin;Germany;52.24N;13.14E
1769-05-01;12,376;9,883;Berlin;Germany;52.24N;13.14E
1769-06-01;16,138;5,269;Berlin;Germany;52.24N;13.14E
1769-07-01;18,074;6,144;Berlin;Germany;52.24N;13.14E
1769-08-01;16,714;6,033;Berlin;Germany;52.24N;13.14E
1769-09-01;14,649;1,378;Berlin;Germany;52.24N;13.14E
1769-10-01;5,083;3,127;Berlin;Germany;52.24N;13.14E
1769-11-01;3,799;1,467;Berlin;Germany;52.24N;13.14E
1769-12-01;1,307;4,56;Berlin;Germany;52.24N;13.14E
1770-01-01;-1,689;8,09;Berlin;Germany;52.24N;13.14E
1770-02-01;0,503;4,304;Berlin;Germany;52.24N;13.14E
1770-03-01;-0,035;5,135;Berlin;Germany;52.24N;13.14E
1770-04-01;6,576;14,037;Berlin;Germany;52.24N;13.14E
1770-05-01;13,428;1,981;Berlin;Germany;52.24N;13.14E
1770-06-01;16,114;4,779;Berlin;Germany;52.24N;13.14E
1770-07-01;18,205;9,267;Berlin;Germany;52.24N;13.14E
1770-08-01;18,174;5,242;Berlin;Germany;52.24N;13.14E
1770-09-01;15,409;4,062;Berlin;Germany;52.24N;13.14E
1770-10-01;9,011;5,727;Berlin;Germany;52.24N;13.14E
1770-11-01;3,627;7,741;Berlin;Germany;52.24N;13.14E
1770-12-01;2,647;10,944;Berlin;Germany;52.24N;13.14E
1771-01-01;-2,867;8,727;Berlin;Germany;52.24N;13.14E
1771-02-01;-3,123;4,94;Berlin;Germany;52.24N;13.14E
1771-03-01;-1,049;9,019;Berlin;Germany;52.24N;13.14E
1771-04-01;3,898;8,044;Berlin;Germany;52.24N;13.14E
1771-05-01;15,723;13,004;Berlin;Germany;52.24N;13.14E
1771-06-01;17,15;3,441;Berlin;Germany;52.24N;13.14E
1771-07-01;17,546;1,877;Berlin;Germany;52.24N;13.14E
1771-08-01;15,818;3,095;Berlin;Germany;52.24N;13.14E
1771-09-01;13,822;2,148;Berlin;Germany;52.24N;13.14E
1771-10-01;9,036;1,672;Berlin;Germany;52.24N;13.14E
1771-11-01;1,6;5,318;Berlin;Germany;52.24N;13.14E
1771-12-01;1,894;4,771;Berlin;Germany;52.24N;13.14E
1772-01-01;-0,944;9,804;Berlin;Germany;52.24N;13.14E
1772-02-01;1,727;11,58;Berlin;Germany;52.24N;13.14E
1772-03-01;3,905;4,906;Berlin;Germany;52.24N;13.14E
1772-04-01;7,117;5,083;Berlin;Germany;52.24N;13.14E
1772-05-01;10,571;1,743;Berlin;Germany;52.24N;13.14E
1772-06-01;17,771;5,59;Berlin;Germany;52.24N;13.14E
1772-07-01;17,543;3,734;Berlin;Germany;52.24N;13.14E
1772-08-01;17,707;5,189;Berlin;Germany;52.24N;13.14E
1772-09-01;15,2;3,751;Berlin;Germany;52.24N;13.14E
1772-10-01;10,459;3,034;Berlin;Germany;52.24N;13.14E
1772-11-01;6,49;6,381;Berlin;Germany;52.24N;13.14E
1772-12-01;2,071;4,327;Berlin;Germany;52.24N;13.14E
1773-01-01;1,64;2,79;Berlin;Germany;52.24N;13.14E
1773-02-01;-0,696;3,5;Berlin;Germany;52.24N;13.14E
1773-03-01;2,999;2,381;Berlin;Germany;52.24N;13.14E
1773-04-01;8,853;4,119;Berlin;Germany;52.24N;13.14E
1773-05-01;15,332;4,331;Berlin;Germany;52.24N;13.14E
1773-06-01;16,308;1,798;Berlin;Germany;52.24N;13.14E
1773-07-01;18,145;2,597;Berlin;Germany;52.24N;13.14E
1773-08-01;18,353;2,418;Berlin;Germany;52.24N;13.14E
1773-09-01;15,303;2,254;Berlin;Germany;52.24N;13.14E
1773-10-01;10,792;2,324;Berlin;Germany;52.24N;13.14E
1773-11-01;4,023;7,824;Berlin;Germany;52.24N;13.14E
1773-12-01;3,213;6,646;Berlin;Germany;52.24N;13.14E
1774-01-01;-1,993;9,485;Berlin;Germany;52.24N;13.14E
1774-02-01;1,844;8,563;Berlin;Germany;52.24N;13.14E
1774-03-01;5,538;3,353;Berlin;Germany;52.24N;13.14E
1774-04-01;10,116;6,125;Berlin;Germany;52.24N;13.14E
1774-05-01;13,811;2,799;Berlin;Germany;52.24N;13.14E
1774-06-01;18,122;8,53;Berlin;Germany;52.24N;13.14E
1774-07-01;17,871;8,565;Berlin;Germany;52.24N;13.14E
1774-08-01;17,492;3,633;Berlin;Germany;52.24N;13.14E
1774-09-01;12,658;3,942;Berlin;Germany;52.24N;13.14E
1774-10-01;8,748;5,603;Berlin;Germany;52.24N;13.14E
1774-11-01;-1,483;8,403;Berlin;Germany;52.24N;13.14E
1774-12-01;-1,22;6,244;Berlin;Germany;52.24N;13.14E
1775-01-01;-0,523;5,569;Berlin;Germany;52.24N;13.14E
1775-02-01;4,308;5,511;Berlin;Germany;52.24N;13.14E
1775-03-01;5,547;2,341;Berlin;Germany;52.24N;13.14E
1775-04-01;7,2;1,311;Berlin;Germany;52.24N;13.14E
1775-05-01;12,757;3,988;Berlin;Germany;52.24N;13.14E
1775-06-01;20,214;5,937;Berlin;Germany;52.24N;13.14E
1775-07-01;20,161;1,66;Berlin;Germany;52.24N;13.14E
1775-08-01;19,929;2,092;Berlin;Germany;52.24N;13.14E
1775-09-01;16,663;3,794;Berlin;Germany;52.24N;13.14E
1775-10-01;10,042;3,035;Berlin;Germany;52.24N;13.14E
1775-11-01;2,914;7,169;Berlin;Germany;52.24N;13.14E
1775-12-01;1,948;2,097;Berlin;Germany;52.24N;13.14E
1776-01-01;-8,336;6,452;Berlin;Germany;52.24N;13.14E
1776-02-01;3,088;4,074;Berlin;Germany;52.24N;13.14E
1776-03-01;4,888;3,413;Berlin;Germany;52.24N;13.14E
1776-04-01;7,892;1,117;Berlin;Germany;52.24N;13.14E
1776-05-01;11,111;4,497;Berlin;Germany;52.24N;13.14E
1776-06-01;17,794;3,617;Berlin;Germany;52.24N;13.14E
1776-07-01;19,727;3,131;Berlin;Germany;52.24N;13.14E
1776-08-01;18,39;4,959;Berlin;Germany;52.24N;13.14E
1776-09-01;14,137;3,706;Berlin;Germany;52.24N;13.14E
1776-10-01;8,054;3,563;Berlin;Germany;52.24N;13.14E
1776-11-01;3,669;7,297;Berlin;Germany;52.24N;13.14E
1776-12-01;-0,058;3,699;Berlin;Germany;52.24N;13.14E
1777-01-01;-2,174;4,291;Berlin;Germany;52.24N;13.14E
1777-02-01;-1,678;4,938;Berlin;Germany;52.24N;13.14E
1777-03-01;3,416;1,947;Berlin;Germany;52.24N;13.14E
1777-04-01;6,105;2,107;Berlin;Germany;52.24N;13.14E
1777-05-01;13,815;3,837;Berlin;Germany;52.24N;13.14E
1777-06-01;16,387;3,146;Berlin;Germany;52.24N;13.14E
1777-07-01;17,47;1,829;Berlin;Germany;52.24N;13.14E
1777-08-01;18,258;1,914;Berlin;Germany;52.24N;13.14E
1777-09-01;12,8;5,216;Berlin;Germany;52.24N;13.14E
1777-10-01;8,79;5,693;Berlin;Germany;52.24N;13.14E
1777-11-01;5,841;2,259;Berlin;Germany;52.24N;13.14E
1777-12-01;0,49;2,254;Berlin;Germany;52.24N;13.14E
1778-01-01;-1,659;3,177;Berlin;Germany;52.24N;13.14E
1778-02-01;-1,013;4,95;Berlin;Germany;52.24N;13.14E
1778-03-01;4,002;4,65;Berlin;Germany;52.24N;13.14E
1778-04-01;10,51;1,463;Berlin;Germany;52.24N;13.14E
1778-05-01;14,875;3,224;Berlin;Germany;52.24N;13.14E
1778-06-01;17,224;6,622;Berlin;Germany;52.24N;13.14E
1778-07-01;20,811;1,787;Berlin;Germany;52.24N;13.14E
1778-08-01;19,104;3,978;Berlin;Germany;52.24N;13.14E
1778-09-01;12,776;1,886;Berlin;Germany;52.24N;13.14E
