dt;AverageTemperature;AverageTemperatureUncertainty;City;Country;Latitude;Longitude
1834-10-01;-0,271;1,802;Abakan;Russia;53.84N;91.36E
1834-11-01;-7,221;2,878;Abakan;Russia;53.84N;91.36E
1834-12-01;-16,6;2,041;Abakan;Russia;53.84N;91.36E
1835-01-01;-19,816;2,538;Abakan;Russia;53.84N;91.36E
1835-02-01;-15,194;3,67;Abakan;Russia;53.84N;91.36E
1835-03-01;-11,075;2,068;Abakan;Russia;53.84N;91.36E
1835-04-01;1,574;2,219;Abakan;Russia;53.84N;91.36E
1835-05-01;8,413;1,514;Abakan;Russia;53.84N;91.36E
1835-06-01;13,367;1,646;Abakan;Russia;53.84N;91.36E
1835-07-01;16,312;1,58;Abakan;Russia;53.84N;91.36E
1835-08-01;13,96;1,502;Abakan;Russia;53.84N;91.36E
1835-09-01;6,228;1,602;Abakan;Russia;53.84N;91.36E
1835-10-01;-2,39;2,342;Abakan;Russia;53.84N;91.36E
1835-11-01;-10,876;2,496;Abakan;Russia;53.84N;91.36E
1835-12-01;-17,808;3,369;Abakan;Russia;53.84N;91.36E
1836-01-01;-19,556;3,183;Abakan;Russia;53.84N;91.36E
1836-02-01;-18,642;2,405;Abakan;Russia;53.84N;91.36E
1836-03-01;-8,051;1,826;Abakan;Russia;53.84N;91.36E
1836-04-01;-0,23;1,928;Abakan;Russia;53.84N;91.36E
1836-05-01;8,328;2,024;Abakan;Russia;53.84N;91.36E
1836-06-01;15,499;1,754;Abakan;Russia;53.84N;91.36E
1836-07-01;17,752;1,414;Abakan;Russia;53.84N;91.36E
1836-08-01;15,058;2,686;Abakan;Russia;53.84N;91.36E
1836-09-01;6,88;2,059;Abakan;Russia;53.84N;91.36E
1836-10-01;-0,224;1,7;Abakan;Russia;53.84N;91.36E
1836-11-01;-13,774;3,311;Abakan;Russia;53.84N;91.36E
1836-12-01;-16,574;2,495;Abakan;Russia;53.84N;91.36E
1837-01-01;-21,525;2,622;Abakan;Russia;53.84N;91.36E
1837-02-01;-18,46;2,322;Abakan;Russia;53.84N;91.36E
1837-03-01;-11,519;2,087;Abakan;Russia;53.84N;91.36E
1837-04-01;-2,425;1,976;Abakan;Russia;53.84N;91.36E
1837-05-01;8,859;2,341;Abakan;Russia;53.84N;91.36E
1837-06-01;14,549;1,792;Abakan;Russia;53.84N;91.36E
1837-07-01;19,091;2,568;Abakan;Russia;53.84N;91.36E
1837-08-01;16,015;1,837;Abakan;Russia;53.84N;91.36E
1837-09-01;7,224;1,504;Abakan;Russia;53.84N;91.36E
1837-10-01;-0,653;1,806;Abakan;Russia;53.84N;91.36E
1837-11-01;-12,147;2,381;Abakan;Russia;53.84N;91.36E
1837-12-01;-17,276;2,191;Abakan;Russia;53.84N;91.36E
1838-01-01;-26,358;3,171;Abakan;Russia;53.84N;91.36E
1838-02-01;-18,424;2,393;Abakan;Russia;53.84N;91.36E
1838-03-01;-13,995;4,49;Abakan;Russia;53.84N;91.36E
1838-04-01;-0,935;2,369;Abakan;Russia;53.84N;91.36E
1838-05-01;7,557;1,096;Abakan;Russia;53.84N;91.36E
1838-06-01;15,085;0,914;Abakan;Russia;53.84N;91.36E
1838-07-01;20,053;2,636;Abakan;Russia;53.84N;91.36E
1838-08-01;15,501;1,219;Abakan;Russia;53.84N;91.36E
1838-09-01;5,35;4,06;Abakan;Russia;53.84N;91.36E
1838-10-01;0,757;2,09;Abakan;Russia;53.84N;91.36E
1838-11-01;-9,949;1,442;Abakan;Russia;53.84N;91.36E
1838-12-01;-17,272;2,628;Abakan;Russia;53.84N;91.36E
1839-01-01;-23,268;3,212;Abakan;Russia;53.84N;91.36E
1839-02-01;-16,602;2,628;Abakan;Russia;53.84N;91.36E
1839-03-01;-13,146;1,934;Abakan;Russia;53.84N;91.36E
1839-04-01;-0,532;1,546;Abakan;Russia;53.84N;91.36E
1839-05-01;5,918;4,296;Abakan;Russia;53.84N;91.36E
1839-06-01;15,633;1,193;Abakan;Russia;53.84N;91.36E
1839-07-01;19,322;1,826;Abakan;Russia;53.84N;91.36E
1839-08-01;14,113;2,841;Abakan;Russia;53.84N;91.36E
1839-09-01;8,486;1,036;Abakan;Russia;53.84N;91.36E
1839-10-01;-2,572;2,504;Abakan;Russia;53.84N;91.36E
1839-11-01;-14,509;4,431;Abakan;Russia;53.84N;91.36E
1839-12-01;-23,456;4,821;Abakan;Russia;53.84N;91.36E
1840-01-01;-20,716;2,595;Abakan;Russia;53.84N;91.36E
1840-02-01;-19,667;3,007;Abakan;Russia;53.84N;91.36E
1840-03-01;-11,495;1,541;Abakan;Russia;53.84N;91.36E
1840-04-01;2,523;2,604;Abakan;Russia;53.84N;91.36E
1840-05-01;10,791;1,792;Abakan;Russia;53.84N;91.36E
1840-06-01;15,725;1,382;Abakan;Russia;53.84N;91.36E
1840-07-01;18,778;1,118;Abakan;Russia;53.84N;91.36E
