dt;AverageTemperature;AverageTemperatureUncertainty;City;Country;Latitude;Longitude
1763-03-01;1,004;8,217;Bern;Switzerland;47.42N;8.29E
1763-04-01;5,964;1,908;Bern;Switzerland;47.42N;8.29E
1763-05-01;9,492;3,18;Bern;Switzerland;47.42N;8.29E
1763-06-01;14,1;6,58;Bern;Switzerland;47.42N;8.29E
1763-07-01;16,212;2,455;Bern;Switzerland;47.42N;8.29E
1763-08-01;16,93;3,359;Bern;Switzerland;47.42N;8.29E
1763-09-01;11,032;3,009;Bern;Switzerland;47.42N;8.29E
1763-10-01;5,146;6,93;Bern;Switzerland;47.42N;8.29E
1763-11-01;1,393;3,814;Bern;Switzerland;47.42N;8.29E
1763-12-01;0,27;2,148;Bern;Switzerland;47.42N;8.29E
1764-01-01;0,593;5,964;Bern;Switzerland;47.42N;8.29E
1764-02-01;1,562;3,129;Bern;Switzerland;47.42N;8.29E
1764-03-01;0,533;4,354;Bern;Switzerland;47.42N;8.29E
1764-04-01;5,213;5,287;Bern;Switzerland;47.42N;8.29E
1764-05-01;12,864;8,345;Bern;Switzerland;47.42N;8.29E
1764-06-01;14,961;3,259;Bern;Switzerland;47.42N;8.29E
1764-07-01;16,626;5,948;Bern;Switzerland;47.42N;8.29E
1764-08-01;13,929;1,704;Bern;Switzerland;47.42N;8.29E
1764-09-01;10,675;5,757;Bern;Switzerland;47.42N;8.29E
1764-10-01;5,265;3,205;Bern;Switzerland;47.42N;8.29E
1764-11-01;1,815;3,67;Bern;Switzerland;47.42N;8.29E
1764-12-01;-0,318;4,405;Bern;Switzerland;47.42N;8.29E
1765-01-01;0,531;11,64;Bern;Switzerland;47.42N;8.29E
1765-02-01;-3,192;4,763;Bern;Switzerland;47.42N;8.29E
1765-03-01;3,63;3,166;Bern;Switzerland;47.42N;8.29E
1765-04-01;6,422;1,747;Bern;Switzerland;47.42N;8.29E
1765-05-01;10,466;2,77;Bern;Switzerland;47.42N;8.29E
1765-06-01;15,218;3,435;Bern;Switzerland;47.42N;8.29E
1765-07-01;14,042;5,026;Bern;Switzerland;47.42N;8.29E
1765-08-01;15,02;2,935;Bern;Switzerland;47.42N;8.29E
1765-09-01;11,846;1,716;Bern;Switzerland;47.42N;8.29E
1765-10-01;7,592;0,837;Bern;Switzerland;47.42N;8.29E
1765-11-01;1,774;4,024;Bern;Switzerland;47.42N;8.29E
1765-12-01;-3,018;2,436;Bern;Switzerland;47.42N;8.29E
1766-01-01;-6,742;8,437;Bern;Switzerland;47.42N;8.29E
1766-02-01;-3,157;4,57;Bern;Switzerland;47.42N;8.29E
1766-03-01;1,957;3,294;Bern;Switzerland;47.42N;8.29E
1766-04-01;7,523;3,843;Bern;Switzerland;47.42N;8.29E
1766-05-01;11,636;2,132;Bern;Switzerland;47.42N;8.29E
1766-06-01;15,116;8,069;Bern;Switzerland;47.42N;8.29E
1766-07-01;15,026;4,473;Bern;Switzerland;47.42N;8.29E
1766-08-01;15,869;3,631;Bern;Switzerland;47.42N;8.29E
1766-09-01;12,581;3,95;Bern;Switzerland;47.42N;8.29E
1766-10-01;6,94;2,388;Bern;Switzerland;47.42N;8.29E
1766-11-01;2,826;5,941;Bern;Switzerland;47.42N;8.29E
1766-12-01;-2,856;4,063;Bern;Switzerland;47.42N;8.29E
1767-01-01;-8,158;7,775;Bern;Switzerland;47.42N;8.29E
1767-02-01;1,672;9,065;Bern;Switzerland;47.42N;8.29E
1767-03-01;2,124;9,456;Bern;Switzerland;47.42N;8.29E
1767-04-01;4,775;6,914;Bern;Switzerland;47.42N;8.29E
1767-05-01;9,82;2,557;Bern;Switzerland;47.42N;8.29E
1767-06-01;13,462;4,017;Bern;Switzerland;47.42N;8.29E
1767-07-01;16,294;4,408;Bern;Switzerland;47.42N;8.29E
1767-08-01;15,439;2,342;Bern;Switzerland;47.42N;8.29E
1767-09-01;11,946;4,324;Bern;Switzerland;47.42N;8.29E
1767-10-01;6,957;3,025;Bern;Switzerland;47.42N;8.29E
1767-11-01;3,589;9,273;Bern;Switzerland;47.42N;8.29E
1767-12-01;-3,563;6,145;Bern;Switzerland;47.42N;8.29E
1768-01-01;-5,084;13,738;Bern;Switzerland;47.42N;8.29E
